,Date,SPX,GLD,USO,SLV,EUR/USD,Bitcoin,Ethereum
336,4/23/2015,2112.929932,114.660004,19.76,15.21,1.081502,647.6589965820312,10.458999633789062
337,4/27/2015,2108.919922,115.33000200000001,19.52,15.66,1.087796,664.551025390625,10.51609992980957
338,4/28/2015,2114.76001,116.33000200000001,19.6,15.87,1.096912,654.468017578125,10.500499725341797
339,4/29/2015,2106.850098,115.510002,20.120001000000002,15.81,1.111432,658.0780029296875,11.51319980621338
340,4/30/2015,2085.51001,113.470001,20.51,15.43,1.121466,663.2550048828125,11.951600074768065
341,5/4/2015,2114.48999,114.099998,20.280001000000002,15.7,1.114914,660.7670288085938,11.652799606323242
342,5/5/2015,2089.459961,114.41999799999999,20.76,15.81,1.118631,679.458984375,11.158699989318848
343,5/6/2015,2080.149902,114.360001,20.82,15.77,1.134147,673.1060180664062,11.03439998626709
344,5/7/2015,2088.0,113.41999799999999,20.200001,15.6,1.124695,672.864013671875,11.619099617004395
345,5/11/2015,2105.330078,113.529999,20.379998999999998,15.57,1.114442,665.6849975585938,12.450599670410154
346,5/12/2015,2099.1201170000004,114.5,20.74,15.81,1.1221459999999999,665.0120239257812,12.650699615478516
347,5/13/2015,2098.47998,116.550003,20.610001,16.35,1.135048,650.6190185546875,14.66189956665039
348,5/14/2015,2121.100098,117.18,20.530001000000002,16.65,1.140498,655.5560302734375,14.299699783325195
349,5/18/2015,2129.199951,117.519997,20.440001000000002,16.889999,1.1326180000000001,661.2849731445312,12.749500274658205
350,5/19/2015,2127.830078,115.889999,19.629998999999998,16.379998999999998,1.114666,654.0969848632812,13.836099624633787
351,5/20/2015,2125.850098,116.08000200000001,19.84,16.370001000000002,1.110075,651.7839965820312,11.989500045776367
352,5/21/2015,2130.820068,115.690002,20.5,16.389999,1.111185,654.3519897460938,12.972800254821776
353,5/26/2015,2104.199951,113.910004,19.690001000000002,16.02,1.088886,655.0349731445312,12.843600273132324
354,5/27/2015,2123.47998,113.889999,19.48,15.96,1.090001,656.9920043945312,12.794599533081055
355,5/28/2015,2120.790039,114.019997,19.559998999999998,15.97,1.096035,655.0469970703125,12.461000442504885
356,6/1/2015,2111.72998,114.0,20.360001,16.0,1.092299,624.6810302734375,11.875900268554688
357,6/2/2015,2109.600098,114.459999,20.68,16.07,1.1150010000000001,606.27197265625,10.94159984588623
358,6/3/2015,2114.070068,113.639999,20.17,15.83,1.1257840000000001,547.4650268554689,8.787280082702638
359,6/4/2015,2095.840088,112.839996,19.66,15.48,1.120787,566.35498046875,10.293899536132812
360,6/8/2015,2079.280029,112.57,19.709999,15.32,1.128095,578.2890014648438,11.042799949645996
361,6/9/2015,2080.149902,112.82,20.209999,15.29,1.129905,575.0430297851562,10.925399780273438
362,6/10/2015,2105.199951,113.779999,20.639999,15.32,1.1311959999999999,587.7780151367188,10.881099700927734
363,6/11/2015,2108.860107,113.260002,20.49,15.33,1.1240629999999998,592.6900024414062,10.911600112915039
364,6/15/2015,2084.429932,113.730003,20.15,15.4,1.127701,591.0540161132812,11.245400428771973
365,6/16/2015,2096.290039,113.32,20.26,15.32,1.1242020000000001,587.801025390625,12.24429988861084
366,6/17/2015,2100.439941,113.849998,20.209999,15.45,1.136997,592.10302734375,12.143199920654295
367,6/18/2015,2121.23999,115.32,20.360001,15.46,1.137074,589.1199951171875,11.690899848937988
368,6/22/2015,2122.850098,113.639999,20.16,15.49,1.134906,587.5590209960938,11.778499603271484
369,6/23/2015,2124.199951,112.889999,20.469998999999998,15.14,1.117219,585.5880126953125,11.57129955291748
370,6/24/2015,2108.580078,112.589996,20.200001,15.19,1.120699,570.4730224609375,11.19480037689209
371,6/25/2015,2102.310059,112.440002,19.98,15.17,1.120298,567.239990234375,11.21840000152588
372,6/29/2015,2057.639893,113.07,19.51,15.03,1.1222969999999999,577.4390258789062,11.139699935913086
373,6/30/2015,2063.110107,112.370003,19.879998999999998,15.03,1.113499,573.2160034179688,10.752799987792967
374,7/1/2015,2077.419922,111.980003,19.1,14.9,1.1033629999999999,574.3179931640625,10.756099700927734
375,7/2/2015,2076.780029,111.760002,18.93,14.95,1.108697,575.6300048828125,10.748700141906738
376,7/6/2015,2068.76001,112.059998,17.73,14.99,1.104899,581.697021484375,11.247400283813477
377,7/7/2015,2081.340088,110.760002,17.76,14.43,1.100994,581.3079833984375,11.179200172424316
378,7/8/2015,2046.680054,111.089996,17.379998999999998,14.46,1.1071010000000001,586.7529907226562,11.12090015411377
379,7/9/2015,2051.310059,111.360001,17.709999,14.76,1.1063049999999999,583.4149780273438,11.030599594116213
380,7/13/2015,2099.600098,110.989998,17.51,14.81,1.099046,580.1820068359375,11.03600025177002
381,7/14/2015,2108.949951,110.739998,17.719998999999998,14.7,1.1008,577.760986328125,11.357399940490724
382,7/15/2015,2107.399902,110.160004,17.23,14.43,1.094355,579.6510009765625,11.29539966583252
383,7/16/2015,2124.290039,109.760002,17.049999,14.35,1.088601,569.947021484375,11.148200035095217
384,7/20/2015,2128.280029,105.699997,16.690001000000002,14.05,1.083541,573.9119873046875,10.929300308227539
385,7/21/2015,2119.209961,105.370003,16.91,14.14,1.093996,574.1069946289062,10.983799934387207
386,7/22/2015,2114.149902,104.800003,16.34,14.14,1.092705,577.5029907226562,11.228899955749512
387,7/23/2015,2102.149902,104.33000200000001,16.139999,14.0,1.0989010000000001,575.4719848632812,11.67240047454834
388,7/27/2015,2067.639893,104.860001,15.65,13.92,1.109004,572.302978515625,11.99489974975586
389,7/28/2015,2093.25,105.019997,15.85,14.02,1.1065989999999999,575.5369873046875,12.11299991607666
390,7/29/2015,2108.570068,105.16999799999999,16.24,14.15,1.098406,598.2119750976562,11.758700370788574
391,7/30/2015,2108.6298829999996,104.269997,16.1,14.09,1.093924,608.6339721679688,11.67990016937256
392,8/3/2015,2098.040039,104.099998,15.1,13.87,1.095602,606.5900268554688,11.717000007629395
393,8/4/2015,2093.320068,104.309998,15.22,13.92,1.088898,610.4359741210938,11.68910026550293
394,8/5/2015,2099.840088,103.93,15.03,13.95,1.0903100000000001,614.5440063476562,11.547900199890135
395,8/6/2015,2083.560059,104.389999,14.87,13.99,1.092705,626.3159790039062,11.34589958190918
396,8/10/2015,2104.179932,105.720001,14.89,14.54,1.101698,622.8610229492188,11.652799606323242
397,8/11/2015,2084.070068,106.260002,14.48,14.64,1.1042040000000002,623.5089721679688,12.168499946594238
398,8/12/2015,2086.050049,107.75,14.44,14.82,1.116096,606.718994140625,11.638400077819824
399,8/13/2015,2083.389893,106.860001,14.09,14.71,1.116096,608.2429809570312,11.893699645996096
400,8/17/2015,2102.439941,107.129997,13.89,14.63,1.1078,609.2410278320312,11.918700218200685
401,8/18/2015,2096.919922,107.110001,14.05,14.21,1.103083,610.6840209960938,11.923199653625488
402,8/19/2015,2079.610107,108.550003,13.43,14.57,1.111803,607.155029296875,11.937000274658205
403,8/20/2015,2035.72998,110.440002,13.37,14.78,1.123697,606.9730224609375,12.555800437927244
404,8/24/2015,1893.209961,110.529999,12.5,14.13,1.158306,605.9840087890625,12.698599815368652
405,8/25/2015,1867.609985,109.160004,12.73,13.99,1.155095,609.8740234375,12.43120002746582
406,8/26/2015,1940.5100100000002,107.66999799999999,12.77,13.56,1.134005,609.2269897460938,13.189000129699707
407,8/27/2015,1987.660034,107.730003,13.95,13.8,1.124796,608.31201171875,14.430299758911133
408,8/31/2015,1972.180054,108.82,15.89,13.99,1.122586,597.1489868164062,13.768500328063965
409,9/1/2015,1913.8499760000002,109.199997,14.81,13.94,1.1293440000000001,596.2979736328125,13.247599601745605
410,9/2/2015,1948.859985,108.620003,15.09,14.02,1.121604,602.8419799804688,13.331299781799315
411,9/3/2015,1951.130005,107.839996,15.34,14.02,1.112595,602.625,12.877900123596193
412,9/8/2015,1969.410034,107.519997,15.02,14.12,1.120737,600.8259887695312,13.100899696350098
413,9/9/2015,1942.040039,106.129997,14.52,13.93,1.1220700000000001,608.0430297851562,12.823100090026855
414,9/10/2015,1952.290039,106.379997,14.93,13.99,1.129089,606.166015625,13.098299980163574
415,9/14/2015,1953.030029,106.220001,14.39,13.79,1.1307610000000001,604.72802734375,13.274800300598145
416,9/15/2015,1978.089966,105.900002,14.57,13.77,1.1271799999999998,605.6929931640625,13.073399543762207
417,9/16/2015,1995.310059,107.309998,15.36,14.22,1.129203,609.7349853515625,13.22480010986328
418,9/17/2015,1990.199951,108.410004,15.23,14.42,1.140095,613.9829711914062,13.172699928283693
419,9/22/2015,1942.7399899999998,107.790001,14.92,14.14,1.112075,610.8920288085938,13.199700355529785
420,9/23/2015,1938.7600100000002,108.220001,14.44,14.12,1.118994,612.1329956054688,13.452400207519533
421,9/24/2015,1932.2399899999998,110.489998,14.59,14.44,1.117893,610.2039794921875,13.277000427246096
422,9/28/2015,1881.77002,108.41999799999999,14.38,13.94,1.123103,612.510986328125,13.035699844360352
423,9/29/2015,1884.089966,107.980003,14.61,13.97,1.125594,613.02099609375,12.854299545288086
424,9/30/2015,1920.030029,106.860001,14.68,13.87,1.117206,617.1209716796875,12.667099952697756
425,10/1/2015,1923.819946,106.730003,14.58,13.9,1.1193440000000001,619.1079711914062,12.21909999847412
426,10/5/2015,1987.050049,108.769997,15.0,14.89,1.11952,616.7520141601562,12.05370044708252
427,10/6/2015,1979.9200440000002,109.860001,15.74,15.07,1.1267989999999999,618.9940185546875,11.755499839782715
428,10/7/2015,1995.8299559999998,109.699997,15.57,15.29,1.124,641.072021484375,11.785699844360352
429,10/8/2015,2013.430054,109.139999,16.040001,14.99,1.128694,636.1920166015625,11.933500289916992
430,10/12/2015,2017.459961,111.309998,15.31,15.13,1.135551,636.7860107421875,11.963000297546387
431,10/13/2015,2003.689941,111.860001,15.06,15.16,1.138498,640.3779907226562,11.938199996948242
432,10/14/2015,1994.2399899999998,113.809998,15.05,15.42,1.1475520000000001,638.64599609375,11.983400344848633
433,10/15/2015,2023.859985,113.290001,15.13,15.39,1.136816,641.6309814453125,11.951600074768065
434,10/19/2015,2033.660034,112.019997,14.83,15.11,1.132901,639.1929931640625,12.005000114440918
435,10/20/2015,2030.77002,112.730003,14.73,15.19,1.1353959999999998,637.9600219726562,12.588500022888185
436,10/21/2015,2018.939941,111.730003,14.43,14.99,1.134803,630.52001953125,12.022600173950195
437,10/22/2015,2052.51001,111.690002,14.51,15.11,1.108095,630.8569946289062,12.098999977111815
438,10/26/2015,2071.179932,111.43,14.01,15.11,1.1020379999999999,632.8280029296875,12.175399780273438
439,10/27/2015,2065.889893,111.68,13.82,15.13,1.1065989999999999,657.2940063476562,12.071499824523926
440,10/28/2015,2090.350098,110.75,14.69,15.26,1.103704,657.0709838867188,12.03600025177002
